Semester,Final Score,Final Grade
Fall 2019,89.42,AB
Fall 2019,79.58,BC
Fall 2019,84.03,B
Fall 2019,77.88,BC
Fall 2019,69.82,F
Fall 2019,79.03,BC
Fall 2019,79.6,BC
Fall 2019,84.82,B
Fall 2019,86.16,AB
Fall 2019,75.99,BC
Fall 2019,83.27,B
Fall 2019,81.15,B
Fall 2019,85.33,AB
Fall 2019,81.84,B
Fall 2019,81.54,B
Fall 2019,62.7,F
Fall 2019,79.5,BC
Fall 2019,79.61,BC
Fall 2019,83.37,B
Fall 2019,80.83,B
Fall 2019,88.27,AB
Fall 2019,93.29,A
Fall 2019,78.37,BC
Fall 2019,84.32,B
Fall 2019,73.7,C
Fall 2019,79.38,BC
Fall 2019,83.09,B
Fall 2019,67.84,F
Fall 2019,77.76,BC
Fall 2019,82.36,B
Fall 2019,81.69,B
Fall 2019,76.49,BC
Fall 2019,76.47,BC
Fall 2019,84.26,B
Fall 2019,78.12,BC
Fall 2019,71.26,C
Fall 2019,63.22,F
Fall 2019,88.76,AB
Fall 2019,85.61,AB
Fall 2019,79.15,BC
Fall 2019,87.85,AB
Fall 2019,80.15,B
Fall 2019,82.4,B
Fall 2019,81.8,B
Fall 2019,86.79,AB
Fall 2019,74.18,C
Fall 2019,84.54,B
Fall 2019,86.97,AB
Fall 2019,73.31,C
Fall 2019,87.3,AB
Fall 2019,84.99,B
Fall 2019,82.69,B
Fall 2019,83.66,B
Fall 2019,72.65,C
Fall 2019,74.66,C
Fall 2019,75.92,BC
Fall 2019,86.39,AB
Fall 2019,75.34,BC
Fall 2019,66.87,F
Fall 2019,82.54,B
Fall 2019,82.84,B
Fall 2019,79.19,BC
Fall 2019,86.57,AB
Fall 2019,86.91,AB
Fall 2019,88.1,AB
Fall 2019,84.6,B
Fall 2019,82.89,B
Fall 2019,86.19,AB
Fall 2019,81.99,B
Fall 2019,75.07,BC
Fall 2019,83.67,B
Fall 2019,86,AB
Fall 2019,81.85,B
Fall 2019,70.97,C
Fall 2019,91.97,AB
Fall 2019,82.15,B
Fall 2019,83.36,B
Fall 2019,82.65,B
Fall 2019,78.05,BC
Fall 2019,83.7,B
Fall 2019,72.89,C
Fall 2019,70.74,C
Fall 2019,86.78,AB
Fall 2019,83.26,B
Fall 2019,82.57,B
Fall 2019,87.97,AB
Fall 2019,78.28,BC
Fall 2019,82.45,B
Fall 2019,80.05,B
Fall 2019,75.83,BC
Fall 2019,81.37,B
Fall 2019,88.85,AB
Fall 2019,78.48,BC
Fall 2019,69.83,F
Fall 2019,71.77,C
Fall 2019,82.82,B
Fall 2019,84.26,B
Fall 2019,79.88,BC
Fall 2019,82,B
Fall 2019,85.5,AB
Fall 2019,75.36,BC
Fall 2019,81.54,B
Fall 2019,83.34,B
Fall 2019,93.24,A
Fall 2019,85.66,AB
Fall 2019,88.48,AB
Fall 2019,82.95,B
Fall 2019,82.92,B
Fall 2019,83.98,B
Fall 2019,93.08,A
Fall 2019,86.7,AB
Fall 2019,73.48,C
Fall 2019,82.51,B
Fall 2019,85.37,AB
Fall 2019,84.89,B
Fall 2019,82.72,B
Fall 2019,79.85,BC
Fall 2019,84.56,B
Fall 2019,84.01,B
Fall 2019,83.25,B
Fall 2019,90.88,AB
Fall 2019,85.31,AB
Fall 2019,92.74,A
Fall 2019,87.96,AB
Fall 2019,87.28,AB
Fall 2019,86.79,AB
Fall 2019,82.39,B
Fall 2019,81.25,B
Fall 2019,87.04,AB
Fall 2019,86.45,AB
Fall 2019,77.3,BC
Fall 2019,81.52,B
Fall 2019,75.18,BC
Fall 2019,83.12,B
Fall 2019,84.84,B
Fall 2019,73.36,C
Fall 2019,77.33,BC
Fall 2019,84.08,B
Fall 2019,69.96,F
Fall 2019,84.17,B
Fall 2019,81.24,B
Fall 2019,83.69,B
Fall 2019,77.59,BC
Fall 2019,83.19,B
Fall 2019,82.78,B
Fall 2019,78.55,BC
Fall 2019,75.4,BC
Fall 2019,84.64,B
Fall 2019,83.97,B
Fall 2019,77.64,BC
Fall 2019,83.86,B
Fall 2019,91.59,AB
Fall 2019,83.93,B
Fall 2019,82.28,B
Fall 2019,88.55,AB
Fall 2019,83.62,B
Fall 2019,86.41,AB
Fall 2019,80.27,B
Fall 2019,84.76,B
Fall 2019,76.29,BC
Fall 2019,82.15,B
Fall 2019,87.71,AB
Fall 2019,84.33,B
Fall 2019,0,U
